objectnummer;instelling.naam;objectnaam;titel;beschrijving;vervaardiging.datum.begin;vervaardiging.datum.eind;vervaardiger;vervaardiger.rol;vervaardiging.plaats
0008;Design Museum Gent;theetafel;Theetafel met gekrulde poten;Deze theetafel rust op aan het uiteinde naar binnen gekrulde pootjes. De eenvoudige en elegante lijnen van de tafel zijn kenmerkend voor de meubels uit de Ming-dynastie, maar de authenticiteit van dit exemplaar moet verder worden onderzocht. ;1368;1644;onbekendonbekend;ontwerperuitvoerder;""
0030;Design Museum Gent;sgabello;Vergulde en gepolychromeerde sgabello;De sgabello was een gebruikelijk type pronkstoel in 16de-eeuws Italië. Dit 19de-eeuws exemplaar is voorzien van stucwerk, gepolychromeerd en verguld. De V-vormige rugleuning en de twee ondersteunende wangen zijn versierd met bladwerk, voluten, maskers, adelaars en kariatiden. Bovenaan wordt een wapenschild geflankeerd door sirenen. De zitting is op de voor- en achterwang genageld met vier smeedijzeren nagels. De rugleuning wordt gevormd door een raamwerk met versierde regels, waartussen twee gebogen planken in een groef zijn ingepast.;1850;1899;onbekendonbekend;ontwerperuitvoerder;ItaliëItalië
0031;Design Museum Gent;dressoir;Dressoir met maaswerk en briefpanelen;Deze kast bestaat uit een boven- en een onderkast versierd met panelen ingewerkt in een raamwerk van regels en stijlen. De panelen in de bovenkast, waarvan één paneel in de centrale deur, zijn versierd met maaswerk. Aan de zijkanten van de bovenkast, evenals in de onderkast, zijn de panelen versierd met briefvulling. De lade tussen boven- en onderkast is versierd met bladwerk, een centrale uil en twee fantastische dieren. De hoekstijlen van de onderkast lopen door tot bovenaan. Delen van het hout en de constructie van de kast met onder andere draadnagels doen vermoeden dat de kast een 19de-eeuws exemplaar met enig 15de-eeuws paneelwerk is. Vergelijkbare kastmeubels zijn te vinden in de collecties van de Koninklijke Musea voor Kunst en Geschiedenis in Brussel, Museum Hof van Busleyden in Mechelen en Museum Mayer van den Bergh in Antwerpen.;14501800;15501899;onbekendonbekend;ontwerperuitvoerder;""
0034;Design Museum Gent;kast;Vierdeurskast met briefpanelen;Deze eenvoudige vierdeurskast is opgebouwd uit een raamwerk van stijlen en regels ingevuld met vier briefpanelen aan de voorzijde en twee briefpanelen aan elke zijkant. Zoals vaak in de gotiek zijn de smeedijzeren hengsels aan de buitenkant vastgemaakt aan de hoekstijlen. Delen van het hout en de zware hengsels die vermoedelijk van een vensterbeslag afkomstig zijn, doen vermoeden dat de kast een 19de-eeuws exemplaar met 15de-eeuws paneelwerk is. Een vergelijkbaar kastmeubel is te vinden in de collectie van het Sint-Janshospitaal in Brugge.;14001800;14991899;onbekendonbekend;ontwerperuitvoerder;""
0037;Design Museum Gent;kruk;Kruk met maaswerk;Deze kruk (ook wel schabel of schemel genoemd) steunt op twee wangen die onderaan eindigen in een accoladeboog. Aan de smalle zijkanten van de wangen werden geprofileerde stukken gelijmd, wat doet vermoeden dat het meubel een 19de-eeuws exemplaar met gotische onderdelen is. De twee regels met ajour maaswerk bovenaan zijn vermoedelijk afkomstig van een 15de-eeuws meubel. Maaswerk was kenmerkend voor het gotische raamwerk van vensters. Beide regels zijn vastgemaakt met smeedijzeren nagels, afgedekt met houten pennen. De geboorde gaten in de dwarsregel onderaan doen vermoeden dat ook deze eerder onderdeel was van een ander meubel. Een vergelijkbaar meubel is te vinden in de collectie van Museum hof van Busleyden in Mechelen.;14001800;14991899;onbekendonbekend;ontwerperuitvoerder;Zuidelijke NederlandenZuidelijke Nederlanden
0038;Design Museum Gent;tafel (dragend meubilair);Tafel met pilasterpoten en kruisverbinding;Deze tafel met een gebogen X-verbinding tussen de vier pilastervormige poten is op de regels onder het tafelblad versierd met snijwerk van bloemen en acanthusbladeren. Op de kruising van de X-verbinding werd een vaasversiering aangebracht. Kenmerkend voor de classicistische of Louis XVI-stijl waarin de tafel werd vormgegeven zijn de poten die zichtbaar overgaan in de regels van de tafel. De tafel sluit stilitisch aan bij de periode van 1750 tot 1790, maar werd uitgevoerd in de 19de eeuw.;1800;1899;onbekendonbekend;ontwerperuitvoerder;""
0039_1-2;Design Museum Gent;consoletafeltafelonderstel;Verguld onderstel van een jachttafel;Deze grote consoletafel of jachttafel waar jachttrofeeën werden op uitgestald, bestaat uit een marmeren tafelblad dat rust op een rijkelijk versierd onderstel. Onder het blad is de tafel afgewerkt met een sierlijst met een blad- en bloempatroon. Het vergulde onderstel is versierd met bladwerk. Een gebogen X-vormig stel regels verbinden de vier tapsuitlopende pilastervormige poten. Het tablier, het afhangend ornament onder de voorste regel, is versierd met een schelp. De tafel werd op twee plaatsen gesigneerd met 'F. Desneux' wat vermoedelijk verwijst naar de Brusselse meubelfabrikant Félicien Desneux, die ook betrokken was bij de Wereldtentoonstelling in Gent in 1913. De tafel is dan een vermoedelijk 19de-eeuwse uitvoering in de Franse Louis XIV-stijl.;1830;1899;Desneux, FélicienDesneux, Félicien;ontwerperuitvoerder;BrusselBrussel
0055_1-2;Design Museum Gent;schrijfkabinet;Onderkast van schrijfkabinet met symmetrisch snijwerk;Dit schrijfkabinet bestaat uit een onderkast die dienst doet als schrijfbureau en een bovenkast die wordt gebruikt als bergmeubel. In de onderkast zijn drie golvende lades aangebracht onder een neerklapbaar blad waarachter zich twee kleinere lades bevinden. Het geheel is symmetrisch versierd, onder meer met beslag rond de sleutelgaten. De bovenkast van dit schrijfkabinet is bekroond met een golvende geprofileerde kroonlijst met een centraal kuifstuk in de vorm van een rocaille. Dergelijke schrijfkabinetten waren een populair meubeltype in de Zuidelijke Nederlanden en het Prinsbisdom Luik. Vergelijkbare onderkasten zijn te vinden in de collecties van het Ansembourg Museum in Luik en Hôtel de Groesbeeck de Croix in Namen.;1740;1799;onbekendonbekend;ontwerperuitvoerder;Zuidelijke NederlandenZuidelijke Nederlanden
0055_2-2;Design Museum Gent;schrijfkabinet;Bovenkast van schrijfkabinet met symmetrisch snijwerk;Dit schrijfkabinet bestaat uit een onderkast die dienst doet als schrijfbureau en een bovenkast die wordt gebruikt als bergmeubel. In de onderkast zijn drie golvende lades aangebracht onder een neerklapbaar blad waarachter zich twee kleinere lades bevinden. Het geheel is symmetrisch versierd, onder meer met beslag rond de sleutelgaten. De bovenkast van dit schrijfkabinet is bekroond met een golvende geprofileerde kroonlijst met een centraal kuifstuk in de vorm van een rocaille. Dergelijke schrijfkabinetten waren een populair meubeltype in de Zuidelijke Nederlanden en het Prinsbisdom Luik. Vergelijkbare meubels zijn te vinden in de collecties van Museum Vleeshuis in Antwerpen en de Koninklijke Musea voor Kunst en Geschiedenis in Brussel, Museum Hof van Busleyden in Mechelen en Museum Mayer van den Bergh in Antwerpen.;1740;1799;onbekendonbekend;ontwerperuitvoerder;Zuidelijke NederlandenZuidelijke Nederlanden
0124;Design Museum Gent;weefsellijst (interieurinrichting);Batik met drie figuren op een boot;Craquelé is typerend voor batiks uit deze periode.;1960;1960;Baert, PaulBaert, Paul;ontwerperuitvoerder;MerksplasMerksplas
